NP_001116995.1	sp|Q5XJ36|PARK7_DANRE	88.44	173	20	0	1	173	17	189	3e-108	  314
NP_001116996.1	sp|P05625|RAF1_CHICK	76.15	650	133	8	1	633	1	645	0.0	 1016
NP_001116997.1	sp|O42161|ACTB_SALSA	100.00	375	0	0	1	375	1	375	0.0	  784
NP_001116998.1	sp|Q05982|NDKA_RAT	82.12	151	27	0	1	151	1	151	3e-90	  266
NP_001116999.1	sp|O57561|RL18A_SALSA	100.00	176	0	0	1	176	1	176	5e-130	  369
NP_001117000.1	sp|O73824|TSHB_SALSA	100.00	139	0	0	1	139	1	139	1e-99	  288
NP_001117001.1	sp|O42097|FOXA2_ORYLA	51.86	322	107	11	14	324	131	415	2e-94	  293
NP_001117002.1	sp|P06398|TNNT3_COTJA	63.37	243	62	2	1	217	1	242	1e-87	  266
NP_001117003.1	sp|P70066|RS15_XIPMA	97.93	145	3	0	1	145	1	145	5e-101	  293
NP_001117004.1	sp|O57521|HS90B_DANRE	91.72	725	57	2	1	722	1	725	0.0	 1260
NP_001117005.1	sp|O15439|MRP4_HUMAN	34.40	686	407	7	1	676	8	660	2e-117	  407
NP_001117006.1	sp|P26362|CFTR_SQUAC	60.34	1528	560	10	1	1518	1	1492	0.0	 1831
NP_001117007.1	sp|P28064|PSB8_RAT	73.31	236	61	1	34	267	41	276	2e-124	  362
NP_001117008.1	sp|P49912|OPSD_RABIT	75.92	353	80	1	1	353	1	348	0.0	  583
NP_001117009.1	sp|O42604|OPSD_ZEUFA	84.46	354	55	0	1	354	1	354	0.0	  628
NP_001117010.1	sp|P41115|RS11_XENLA	92.55	161	9	1	1	161	1	158	2e-104	  302
NP_001117012.1	sp|P08631|HCK_HUMAN	75.59	512	108	6	1	502	22	526	0.0	  800
NP_001117013.1	sp|P40241|CD9_RAT	33.04	224	149	1	1	224	1	223	8e-33	  124
NP_001117014.1	sp|Q9DEX7|FADS2_DANRE	64.76	454	150	2	1	454	1	444	0.0	  642
NP_001117015.1	sp|Q95LD9|AHR_DELLE	51.06	613	257	11	8	606	10	593	0.0	  589
NP_001117016.1	sp|Q9DED4|CIRBB_XENLA	66.67	84	28	0	1	84	1	84	1e-33	  123
NP_001117017.1	sp|Q805E9|ANF_OREMO	55.86	145	58	3	6	150	1	139	8e-45	  149
NP_001117018.1	sp|Q4U3Q4|PPARG_CANLF	59.53	472	162	6	58	521	55	505	0.0	  541
